player_total,dealer_card,soft,win_prob,best_move
17,7,0,0.2535,0
19,10,0,0.4275,0
13,10,0,0.2415,1
20,3,1,0.7415,0
20,4,0,0.79,0
13,11,0,0.2165,1
15,6,0,0.4405,0
19,3,0,0.6245,0
12,10,0,0.249,1
16,11,0,0.201,0
14,11,0,0.2005,0
13,4,0,0.4105,0
10,6,0,0.5965,1
17,5,0,0.427,0
9,4,0,0.509,1
13,11,0,0.2,0
15,2,0,0.371,0
15,10,0,0.204,1
17,10,0,0.2095,0
14,2,0,0.341,0
14,5,0,0.407,0
14,9,0,0.258,1
16,9,0,0.232,0
17,4,0,0.3995,0
20,8,0,0.8635,0
20,7,0,0.8485,0
16,7,0,0.273,1
5,5,0,0.4035,1
20,11,0,0.51,0
15,2,1,0.4645,1
13,4,0,0.383,0
9,2,0,0.484,1
15,4,0,0.3905,0
13,10,0,0.246,1
12,9,0,0.277,1
12,4,0,0.389,0
14,5,1,0.5155,1
11,5,0,0.62,1
20,10,1,0.5355,0
7,11,0,0.208,0
19,10,0,0.4295,0
8,11,0,0.226,1
16,4,0,0.3965,0
15,10,0,0.2115,1
13,4,0,0.4015,0
12,3,0,0.369,0
15,3,0,0.384,0
19,5,0,0.6665,0
13,3,0,0.381,0
20,10,0,0.5355,0
10,10,0,0.376,1
20,8,0,0.865,0
14,4,0,0.401,0
10,6,0,0.587,1
20,6,0,0.779,0
15,10,0,0.222,0
13,4,0,0.401,0
19,11,0,0.3715,0
16,5,0,0.418,0
12,6,0,0.4305,0
16,4,0,0.395,0
14,2,0,0.3245,0
17,10,1,0.3125,1
18,6,0,0.557,0
21,10,1,0.8935,0
17,10,0,0.2105,0
8,2,0,0.4145,1
10,8,0,0.5255,1
14,10,0,0.215,0
9,4,0,0.524,1
14,3,1,0.468,1
20,6,0,0.7745,0
14,8,0,0.2795,1
20,8,1,0.861,0
12,4,0,0.399,0
11,11,0,0.374,1
20,6,0,0.7765,0
12,10,0,0.254,1
15,8,0,0.275,1
18,7,0,0.6295,0
4,10,0,0.212,0
17,9,0,0.211,0
6,2,0,0.366,1
15,10,0,0.2125,0
20,3,0,0.7665,0
9,10,0,0.305,1
17,10,0,0.2025,0
17,3,0,0.3625,0
21,11,1,0.6365,0
15,11,1,0.2805,1
17,10,0,0.2035,0
17,5,1,0.529,1
12,9,0,0.263,1
20,3,0,0.7705,0
21,6,1,0.898,0
11,6,0,0.6385,1
18,10,0,0.3075,0
13,2,0,0.3625,0
15,5,0,0.4195,0
17,3,0,0.3735,0
15,9,1,0.357,1
10,3,0,0.584,1
6,10,0,0.216,1
9,9,0,0.3595,1
14,9,0,0.2615,1
7,10,0,0.228,1
9,10,0,0.3005,1
10,2,0,0.557,1
7,10,0,0.234,1
12,10,0,0.2515,1
17,10,0,0.2245,0
10,10,0,0.39,1
20,11,0,0.51,0
21,2,1,0.8795,0
12,9,0,0.2855,1
12,5,0,0.4035,0
20,9,0,0.8375,0
20,8,0,0.8645,0
8,4,0,0.4515,1
16,2,0,0.351,0
